sep=,
Time,Temperature,Voltage,Current
s,deg.C/100,V,mA

880.9844200611,1.029,10.031,1198
881.4844501019,1.03,10.031,1198
881.9845099449,1.03,10.031,1198
882.4844799042,1.03,10.03,1197
882.9844899178,1.03,10.03,1197
883.4845099449,1.031,10.03,1198
883.9845099449,1.031,10.03,1197
884.4844799042,1.032,10.03,1197
884.9845099449,1.032,10.031,1198
885.4844799042,1.032,10.031,1198
885.9845099449,1.032,10.031,1197
886.4844698906,1.033,10.031,1197
886.9845099449,1.033,10.031,1198
887.4845099449,1.033,10.031,1198
887.9845199585,1.033,10.031,1198
888.4844698906,1.034,10.031,1198
888.9845099449,1.034,10.031,1197
889.4845099449,1.034,10.03,1198
889.9845099449,1.035,10.031,1197
890.4845099449,1.035,10.031,1197
890.9844799042,1.034,10.031,1198
891.4845199585,1.035,10.031,1198
891.9845099449,1.035,10.031,1198
892.4844799042,1.035,10.031,1197
892.9845099449,1.036,10.031,1197
893.4844799042,1.036,10.031,1198
893.9845099449,1.036,10.031,1197
894.4844698906,1.037,10.031,1197
894.9844799042,1.037,10.031,1198
895.4845099449,1.037,10.031,1198
895.9845099449,1.037,10.031,1197
896.4845099449,1.038,10.031,1198
896.9844300747,1.038,10.03,1198
897.4844999313,1.038,10.031,1197
897.9844999313,1.038,10.031,1198
898.4844799042,1.038,10.031,1198
898.9844799042,1.039,10.031,1197
899.4844799042,1.038,10.031,1198
899.9844899178,1.039,10.031,1197
900.4844501019,1.039,10.031,1197
900.9844999313,1.039,10.031,1198
901.4845099449,1.04,10.031,1197
901.9845099449,1.04,10.031,1197
902.4845099449,1.039,10.031,1197
902.9844799042,1.039,10.031,1197
903.4845099449,1.04,10.031,1197
903.9845099449,1.04,10.031,1198
904.4844999313,1.041,10.031,1198
904.9845099449,1.04,10.031,1198
905.4844799042,1.04,10.031,1198
905.9844799042,1.04,10.031,1198
906.4844698906,1.041,10.031,1198
906.9845099449,1.041,10.03,1198
907.4844799042,1.041,10.031,1198
907.9845199585,1.041,10.031,1198
908.4844501019,1.041,10.031,1198
908.9845099449,1.041,10.031,1197
909.4844999313,1.042,10.031,1198
909.9845099449,1.042,10.031,1198
910.4845099449,1.042,10.031,1198
910.9844100475,1.042,10.031,1198
911.4845199585,1.042,10.031,1197
911.9844799042,1.042,10.031,1198
912.4845299721,1.043,10.031,1198
912.9844799042,1.043,10.031,1198
913.4844698906,1.043,10.031,1198
913.9844200611,1.043,10.031,1198
914.4844799042,1.043,10.031,1198
914.9844799042,1.043,10.031,1198
915.4844799042,1.044,10.031,1198
915.9844799042,1.044,10.031,1198
916.4844999313,1.043,10.031,1198
916.9844799042,1.044,10.031,1198
917.4845099449,1.044,10.031,1198
917.9845099449,1.044,10.031,1198
918.4844899178,1.045,10.031,1198
918.9844799042,1.045,10.031,1198
919.4845199585,1.045,10.031,1198
919.9845199585,1.045,10.031,1198
920.4844999313,1.045,10.031,1198
920.9845099449,1.045,10.031,1198
921.4844799042,1.046,10.031,1198
921.9844899178,1.046,10.031,1198
922.4845099449,1.046,10.031,1198
922.9844999313,1.047,10.031,1198
923.4844799042,1.047,10.031,1198
923.9844999313,1.047,10.031,1198
924.4844799042,1.047,10.03,1198
924.9845299721,1.048,10.031,1198
925.4844799042,1.048,10.031,1198
925.9844799042,1.048,10.031,1198
926.4844899178,1.048,10.031,1198
926.9844799042,1.048,10.031,1199
927.4845099449,1.049,10.031,1199
927.9845199585,1.049,10.031,1198
928.4844799042,1.049,10.031,1199
928.9844999313,1.049,10.031,1198
929.4845099449,1.049,10.031,1198
929.9844698906,1.049,10.031,1198
930.4844899178,1.05,10.031,1199
930.9844799042,1.05,10.031,1198
931.4844799042,1.05,10.031,1198
931.9845099449,1.05,10.031,1198
932.4845099449,1.05,10.031,1198
932.9845099449,1.051,10.031,1198
933.4845099449,1.051,10.031,1198
933.9844799042,1.051,10.031,1198
934.4844999313,1.052,10.031,1198
934.9845099449,1.052,10.031,1198
935.4844799042,1.052,10.031,1198
935.9845099449,1.052,10.031,1198
936.4844400883,1.053,10.031,1198
936.9844999313,1.052,10.031,1198
937.4844799042,1.053,10.031,1198
937.9844799042,1.053,10.031,1198
938.4844799042,1.053,10.031,1198
938.9844799042,1.053,10.031,1198
939.4844799042,1.053,10.031,1198
939.9844799042,1.054,10.031,1198
940.4844799042,1.054,10.031,1198
940.9845099449,1.054,10.031,1198
941.4844799042,1.053,10.031,1198
941.9845099449,1.053,10.031,1198
942.4845199585,1.054,10.031,1198
942.9844799042,1.053,10.031,1198
943.4845199585,1.054,10.031,1198
943.9844799042,1.054,10.031,1198
944.4844501019,1.054,10.031,1198
944.9844799042,1.054,10.031,1199
945.4845099449,1.054,10.031,1199
945.9845099449,1.054,10.031,1199
946.4844799042,1.054,10.031,1199
946.9844799042,1.054,10.031,1198
947.4844899178,1.054,10.031,1198
947.9845099449,1.054,10.031,1199
948.4844799042,1.054,10.031,1198
948.9844999313,1.055,10.031,1198
949.4845099449,1.055,10.031,1198
949.9844899178,1.055,10.031,1198
950.4844601154,1.055,10.031,1198
950.9845099449,1.055,10.031,1198
951.4844799042,1.055,10.031,1198
951.9844799042,1.055,10.031,1198
952.4844999313,1.055,10.031,1198
952.9845099449,1.056,10.031,1198
953.4844799042,1.056,10.031,1198
953.9844799042,1.056,10.031,1198
954.4844501019,1.056,10.031,1198
954.9844899178,1.056,10.031,1198
955.4845099449,1.057,10.031,1198
955.9844799042,1.057,10.031,1198
956.4845199585,1.057,10.031,1198
956.9845099449,1.057,10.031,1198
957.4845099449,1.057,10.031,1198
957.9844799042,1.058,10.031,1198
958.4844799042,1.058,10.031,1198
958.9844999313,1.058,10.031,1198
959.4845099449,1.058,10.031,1198
959.9845199585,1.058,10.031,1198
960.4844200611,1.058,10.031,1198
960.9844899178,1.058,10.031,1198
961.4844799042,1.058,10.031,1198
961.9844799042,1.058,10.032,1198
962.4844799042,1.059,10.031,1198
962.9844799042,1.059,10.031,1198
963.4845199585,1.059,10.031,1198
963.9844799042,1.059,10.031,1197
964.4844799042,1.059,10.031,1198
964.9844799042,1.059,10.031,1198
965.4845099449,1.059,10.031,1198
965.9845099449,1.06,10.031,1198
966.4844698906,1.06,10.031,1198
966.9844999313,1.06,10.032,1198
967.4844799042,1.06,10.031,1198
967.9844999313,1.061,10.031,1198
968.4844698906,1.061,10.031,1198
968.9845099449,1.061,10.032,1197
969.4845099449,1.061,10.031,1198
969.9844999313,1.061,10.032,1198
970.4844999313,1.062,10.031,1198
970.9845099449,1.062,10.031,1198
971.4844999313,1.062,10.031,1198
971.9845099449,1.062,10.031,1198
972.4844799042,1.062,10.031,1198
972.9844799042,1.062,10.031,1198
973.4844698906,1.063,10.031,1198
973.9844799042,1.063,10.031,1198
974.4844799042,1.062,10.031,1199
974.9844899178,1.063,10.031,1198
975.4844799042,1.063,10.031,1198
975.9844899178,1.063,10.031,1198
976.4844300747,1.064,10.031,1198
976.9845099449,1.063,10.031,1198
977.4844799042,1.064,10.031,1198
977.9844899178,1.064,10.031,1198
978.4844799042,1.065,10.031,1198
978.9844799042,1.065,10.031,1198
979.4845099449,1.065,10.031,1198
979.9845099449,1.065,10.031,1198
980.4844999313,1.065,10.031,1198
980.9845299721,1.065,10.032,1198
981.4845199585,1.065,10.031,1198
981.9845099449,1.066,10.032,1198
982.4845099449,1.066,10.031,1198
982.9845299721,1.066,10.031,1198
983.4845099449,1.066,10.032,1198
983.9844799042,1.067,10.032,1198
984.4844799042,1.067,10.031,1198
984.9845099449,1.068,10.031,1198
985.4844799042,1.067,10.031,1198
985.9845099449,1.067,10.031,1198
986.4844799042,1.067,10.031,1198
986.9845199585,1.068,10.031,1198
987.4845099449,1.068,10.031,1198
987.9844999313,1.068,10.031,1198
988.4845099449,1.068,10.031,1198
988.9845099449,1.068,10.031,1198
989.4845099449,1.068,10.031,1198
989.9845099449,1.069,10.032,1198
990.4844698906,1.069,10.031,1198
990.9844899178,1.069,10.031,1198
991.4845099449,1.069,10.031,1198
991.9844698906,1.069,10.031,1198
992.4845099449,1.069,10.032,1198
992.9844501019,1.07,10.031,1198
993.4844300747,1.07,10.031,1198
993.9845099449,1.07,10.032,1198
994.4845099449,1.07,10.031,1198
994.9844799042,1.071,10.031,1198
995.4844799042,1.07,10.032,1198
995.9844799042,1.071,10.032,1198
996.4844501019,1.071,10.031,1198
996.9845099449,1.071,10.032,1198
997.4844698906,1.071,10.031,1198
997.9845199585,1.071,10.031,1199
998.4844601154,1.072,10.031,1198
998.9845099449,1.071,10.031,1198
999.4845099449,1.071,10.031,1198
999.9844799042,1.072,10.032,1198
1000.4844799042,1.072,10.031,1198
1000.9844999313,1.072,10.031,1198
1001.4844601154,1.072,10.031,1198
1001.9845099449,1.072,10.031,1198
1002.4844799042,1.072,10.031,1198
1002.9844799042,1.072,10.031,1199
1003.4845099449,1.072,10.031,1198
1003.9844899178,1.072,10.031,1198
1004.4844799042,1.072,10.032,1198
1004.9845099449,1.073,10.031,1199
1005.4845199585,1.073,10.031,1199
1005.9845199585,1.073,10.031,1199
1006.4845199585,1.073,10.031,1199
1006.9844999313,1.073,10.031,1199
1007.4844799042,1.073,10.031,1198
1007.9844799042,1.073,10.031,1199
1008.4844501019,1.073,10.031,1199
1008.9845199585,1.073,10.031,1199
1009.4844400883,1.073,10.031,1199
1009.9845099449,1.073,10.032,1199
1010.4845099449,1.074,10.031,1199
